1,1,23,brown business shoes,stylish brown business shoes,shoes,40.59,40.59,32.88
1,2,93,black hat,a hat to top it off,accessoirs,11.95,9.56,7.74
2,1,35,yellow sport shoes,the best shoe for your training,shoes,15.91,15.11,12.24
3,1,76,blue jeans,jeans for everyone,trousers,38.31,36.39,29.48
3,2,11,grey boots,practical grey boots,shoes,30.12,28.61,23.17
3,3,29,red high heels,high quality high heels,shoes,9.78,9.29,7.52
3,4,2,red sneakers,amazing red sneakers,shoes,5.72,5.72,4.63
3,5,43,white slip-ons,comfortable slip-ons,shoes,7.75,7.36,5.96
4,1,10,brown boots,tracking boots in brown,shoes,25.38,25.38,20.56
5,1,56,blue suite,the deep blue suite,suits,34.64,34.64,28.06
5,2,83,black socks,everyday socks,socks,7.7,7.31,5.92
6,1,93,black hat,a hat to top it off,accessoirs,11.95,11.35,9.19
7,1,62,black shirt,shirt for all occasions,suits,14.09,14.09,11.41
7,2,10,brown boots,tracking boots in brown,shoes,25.38,25.38,20.56
7,3,99,black sunglasses,cool black sunglasses,accessoirs,49.81,47.32,38.33
8,1,56,blue suite,the deep blue suite,suits,34.64,34.64,28.06
8,2,38,blue sport shoes,the best shoe for your training,shoes,47.43,45.06,36.5
8,3,74,blue t-shirt,blue t-shirts are perfect,shirts,29.99,29.99,24.29
9,1,49,THE shoe,the ultimate shoe,shoes,14.34,14.34,11.62
10,1,16,white slippers,perfect slippers for home,shoes,11.88,11.88,9.62
10,2,5,white sneakers,beautiful white sneakers,shoes,34.15,17.07,13.83
10,3,16,white slippers,perfect slippers for home,shoes,11.88,9.5,7.7
11,1,90,green dress,beautiful evening dress,dresses,29.22,26.3,21.3
11,2,32,blue pumps,great blue pumps,shoes,21.81,20.72,16.78
11,3,56,blue suite,the deep blue suite,suits,34.64,31.18,25.26
11,4,18,grey hiking shoes,best for outside,shoes,41.13,37.02,29.99
12,1,84,blue socks,everyday socks,socks,21.83,20.74,16.8
12,2,23,brown business shoes,stylish brown business shoes,shoes,40.59,40.59,32.88
12,3,30,yellow high heels,high quality high heels,shoes,25.81,24.52,19.86
12,4,13,blue slippers,perfect slippers for home,shoes,41.6,41.6,33.7
13,1,62,black shirt,shirt for all occasions,suits,14.09,13.39,10.85
13,2,38,blue sport shoes,the best shoe for your training,shoes,47.43,45.06,36.5
14,1,81,blue skirt,cool clue skirt,skirts,41.67,41.67,33.75
15,1,91,blue dress,beautiful evening dress,dresses,6.9,6.9,5.59
15,2,52,yellow suite,the crazy yellow suite,suits,16.69,16.69,13.52
16,1,62,black shirt,shirt for all occasions,suits,14.09,14.09,11.41
16,2,38,blue sport shoes,the best shoe for your training,shoes,47.43,47.43,38.42
17,1,62,black shirt,shirt for all occasions,suits,14.09,14.09,11.41
17,2,64,ugly christmas sweater,you know you want it,sweaters,14.1,13.39,10.85
18,1,45,blue pool slides,best for the summer,shoes,26.71,26.71,21.64
18,2,62,black shirt,shirt for all occasions,suits,14.09,13.39,10.85
18,3,6,black sneakers,great sneakers in black,shoes,49.14,49.14,39.8
18,4,35,yellow sport shoes,the best shoe for your training,shoes,15.91,15.91,12.89
18,5,44,grey slip-ons,comfortable slip-ons,shoes,44.56,44.56,36.09
